序名,设备名称,规格型号,安装位置,设备编号,备注
5,蒸汽冷凝水罐,500L,一楼,141-V612,搪玻璃
6,空压储罐,300L,一楼,141-V611,不锈钢
7,反应釜,500L,一楼,141-V614,搪玻璃
8,立式储罐,1500L,一楼,141-V617,不锈钢
9,调酸罐,FR10000,二楼,141-R604,搪玻璃
10,反应罐,KR5000,二楼,141-R101A,搪玻璃
11,反应罐,KR5000,二楼,141-R101B,搪玻璃
12,厢式压滤机,XAR40/800-UK,二楼,141-D101,RPP
13,气液分离器,100L,二楼,141-X605,不锈钢
14,气液分离器,100L,二楼,141-X606,不锈钢
14号楼三车间（溴化）,,,,,
1,蒸馏塔,5000L,一楼,142-T301,不锈钢
2,储罐,1000L,一楼,142-V001,不锈钢
3,空压储罐,300L,一楼,142-V001,碳钢
4,立式空气储罐,300L,一楼,142-V002,不锈钢
5,溴素罐,16m³,一楼,142-V003,搪玻璃
6,搪玻璃储罐,16m³,一楼,142-V003,搪玻璃
7,搪玻璃储罐,16m³,一楼,142-V004,搪玻璃
8,搪玻璃储罐,10m³,一楼,142-V005,搪玻璃
9,氮封储罐,500L,一楼,142-V007,不锈钢
10,泄爆罐,500L,一楼,142-V008,不锈钢
11,中转罐,1000L,一楼,142-V009,搪玻璃
12,储罐,500L,一楼,142-V011,不锈钢
13,立式空气储罐,300L,一楼,142-V012,不锈钢
14,立式盘管储罐,2000L,一楼,142-V103,不锈钢
15,立式储罐,1000L,一楼,142-V106,不锈钢
16,计量罐,1000L,一楼,142-V106,不锈钢
17,搪玻璃储罐,1000L,一楼,142-V107-1,搪玻璃
18,搪玻璃储罐,1000L,一楼,142-V107-2,搪玻璃
19,搪玻璃储罐,1000L,一楼,142-V107-3,搪玻璃
20,搪玻璃储罐,1000L,一楼,142-V107-4,搪玻璃
21,滚涂F40储罐,立式800L,一楼,142-V108-1,滚涂F40/碳钢
22,滚涂F40储罐,立式800L,一楼,142-V108-2,滚涂F40/碳钢
23,卧式储罐,4000L,一楼,142-V109,不锈钢
24,搪玻璃反应锅,500L,一楼,142-V116,搪玻璃
25,搪玻璃反应锅,500L,一楼,142-V117,搪玻璃
26,搪玻璃反应釜,1000L,一楼,142-V120,搪玻璃
27,搪玻璃储罐,2000L,一楼,142-V121,搪玻璃
