"序
号",年份,上年营业额,应提安全费用,安全投入,备注
1,2021,3.6133亿元,350.66,1036.50,保障支出685.84
2,2022,5.1051亿元,425.26,675.93,保障支出250.67
3,2023,8.0471亿元,635.09,745.89,保障支出110.8
