序名,设备名称,规格型号,安装位置,设备编号,备注
16,水槽,1500L,一楼,083-18504-4,不锈钢
17,真空缓冲罐,200L,一楼,083-18507-4,不锈钢
18,真空缓冲罐,200L,一楼,083-18507-6,不锈钢
19,真空缓冲罐,300L,一楼,083-18507-7,不锈钢
20,真空缓冲罐,200L,一楼,083-18507-8,不锈钢
21,真空缓冲罐,200L,一楼,083-18507-9,RPP
22,真空缓冲罐,300L,一楼,083-18507-10,不锈钢
23,氮封缓冲罐,300L,一楼,083-18508-1,碳钢
24,氮气缓冲罐,300L,一楼,083-18508-2,碳钢
25,吸收塔,Φ1200*7500,一楼,083-18509-3,RPP
26,升降机,BDH0.5T-9m,一楼,083-18511,
27,空压储罐,300L,一楼,083-18513,不锈钢
28,储罐,300L,一楼,083-18524,不锈钢
29,储罐,300L,一楼,083-18526-1,不锈钢
30,储罐,300L,一楼,083-18526-2,不锈钢
31,冷凝罐,3000L,一楼,083-18530,304/Q235-B
32,储罐喷涂,400L,一楼,083-18531,不锈钢
33,反应釜,KR3000,二楼,083-18104-4,搪玻璃
34,储罐,5000L,二楼,083-18105-3,不锈钢
35,反应罐,2000L,二楼,083-18126-1,搪玻璃
36,反应罐,2000L,二楼,083-18126-2,搪玻璃
37,反应罐,FR4000,二楼,083-18201-5,Q235B
38,反应罐,FR4000,二楼,083-18201-6,Q235B
39,反应罐,FR4000,二楼,083-18201-7,Q235B
40,反应罐,4000L,二楼,083-18201-8,S30408
41,反应釜,KR3000,二楼,083-18204-5,搪玻璃
42,反应釜,KR3000,二楼,083-18204-6,搪玻璃
43,反应釜,KR3000,二楼,083-18204-7,搪玻璃
44,反应釜,KR3000,二楼,083-18204-8,搪玻璃
45,反应釜,KR1000,二楼,083-18216-7,搪玻璃
46,反应釜,KR1000,二楼,083-18216-8,搪玻璃
47,蒸馏罐,FR4000,二楼,083-18218-3,S30408
48,蒸馏罐,FR4000,二楼,083-18218-4,S30408
49,气液分离器,30L,二楼,083-18221-1,304
50,气液分离器,30L,二楼,083-18221-2,304
51,反应釜,1000L,二楼,083-18301-3,搪玻璃
52,反应釜,1000L,二楼,083-18301-4,搪玻璃
53,反应釜,KR1000,二楼,083-18301-5,搪玻璃
