序名,设备名称,规格型号,安装位置,设备编号,备注
87,储罐,8000L,废水处理中心,02-V121,
88,储罐,10000L,废水处理中心,02-V122,
89,立式储罐,300L,废水处理中心,02-V003,碳钢
90,冷却塔,LBCM-20,污泥干热化,02-T201,玻璃钢
91,料仓,2000*2000*1300,污泥干热化,02-V201,碳钢
92,水槽,1500*700*500,污泥干热化,02-V202,不锈钢
93,氮气储罐,18m³,19号楼一楼,07-V001,碳钢
94,空压储罐,18m³,19号楼一楼,06-V101,碳钢
95,空压储罐,3.1m³,19号楼一楼,06-V102,碳钢
96,螺杆式空压机,KB-75A 10.83/0.7,19号楼一楼,06-X102,组合件
97,螺杆式空压机,R132IU-W8,19号楼一楼,06-X104,
98,空气纯化干燥机,SKH-30W,19号楼一楼,06-X105,
99,螺杆式空压机,KB-60A 7.11/0.8,19号楼二楼,06-X103,组合件
100,储气罐,800L,19号楼二楼,07-V102,碳钢
101,空压储罐,500L,19号楼二楼,07-V103,碳钢
102,空压储罐,SDJ0.8/1-301,19号楼二楼,07-V201,碳钢
103,储气罐,SDJ0.8/1-204,19号楼二楼,07-V202,碳钢
104,氮气储罐,3000L,19号楼二楼,07-V203,碳钢
105,空压储罐,2000L,19号楼二楼,07-V301,碳钢
106,储气罐,2000L,19号楼二楼,07-V302,碳钢
107,氮气储罐,1000L,19号楼二楼,07-V303,碳钢
108,储气罐,2m³,19号楼二楼,07-V101,碳钢
109,储气罐,2m³,19号楼二楼,07-V102,碳钢
110,氮气储罐,900L,19号楼二楼,07-V103,碳钢
111,高效油水分离器,SLY-15,19号楼二楼,07-X101,碳钢
112,空气纯化干燥机,SKH-15,19号楼二楼,07-X102,碳钢
113,"PSA变压吸附氮气
机",SCMT-200,19号楼二楼,07-X103,碳钢
114,空气纯化干燥机,SKH-6/10,19号楼二楼,07-X202,组合件
115,"PSA变压吸附氮气
机",SCM-100C,19号楼二楼,07-X203,组合件
116,高效油水分离器,SLY-15,19号楼二楼,07-X301,碳钢
117,空气纯化干燥机,SKH-15,19号楼二楼,07-X302,组合件
118,"PSA变压吸附氮气
机",SCMT-200,19号楼二楼,07-X303,组合件
119,盐水池,10000*5000*3000,G10冷冻房,08-V101-1,碳钢
120,盐水池,12000*3000*3000,G10冷冻房,08-V101-2,碳钢
121,储罐,20m³,G10冷冻房,08-V102,16MnR
122,方箱,,G10冷冻房,08-V104,不锈钢
123,方箱,,G10冷冻房,08-V105,不锈钢
