序名,设备名称,规格型号,安装位置,设备编号,备注
67,分层罐,300L,三楼,062-V503-6,紫铜
68,分层罐,300L,三楼,062-V503-7,紫铜
69,分层罐,300L,三楼,062-V503-8,紫铜
70,分层罐,300L,三楼,062-V503-9,紫铜
71,分层罐,300L,三楼,062-V503-10,紫铜
72,分层罐,300L,三楼,062-V503-11,紫铜
73,分层罐,300L,三楼,062-V503-12,紫铜
74,真空缓冲罐,100L,三楼,062-V518,不锈钢
75,储罐,500L,三楼,062-V519,不锈钢
76,储罐,400L,三楼,062-V520,不锈钢
77,搪玻璃釜,KR2000,四楼,062-R401,搪玻璃
78,环合罐,300L,四楼,062-R501-1,罐体紫铜
79,环合罐,300L,四楼,062-R501-2,罐体紫铜
80,环合罐,300L,四楼,062-R501-3,罐体紫铜
81,环合罐,300L,四楼,062-R501-4,罐体紫铜
82,环合罐,300L,四楼,062-R501-5,罐体紫铜
83,环合罐,300L,四楼,062-R501-6,罐体紫铜
84,环合罐,300L,四楼,062-R501-7,罐体紫铜
85,环合罐,300L,四楼,062-R501-8,罐体紫铜
86,环合罐,300L,四楼,062-R501-9,罐体紫铜
87,环合罐,300L,四楼,062-R501-10,罐体紫铜
88,环合罐,300L,四楼,062-R501-11,罐体紫铜
89,环合罐,300L,四楼,062-R501-12,罐体紫铜
90,高位槽,6000L,四楼,062-V402,不锈钢
91,氨基滴加罐,300L,四楼,062-V501-1,不锈钢(S30408)
92,氨基滴加罐,300L,四楼,062-V501-2,不锈钢(S30408)
93,氨基滴加罐,300L,四楼,062-V501-3,不锈钢(S30408)
94,氨基滴加罐,300L,四楼,062-V501-4,不锈钢(S30408)
95,氨基滴加罐,300L,四楼,062-V501-5,不锈钢(S30408)
96,氨基滴加罐,300L,四楼,062-V501-6,不锈钢(S30408)
97,氨基滴加罐,300L,四楼,062-V501-7,不锈钢(S30408)
98,氨基滴加罐,300L,四楼,062-V501-8,不锈钢(S30408)
99,氨基滴加罐,300L,四楼,062-V501-9,不锈钢(S30408)
100,氨基滴加罐,300L,四楼,062-V501-10,不锈钢(S30408)
101,氨基滴加罐,300L,四楼,062-V501-11,不锈钢(S30408)
102,氨基滴加罐,300L,四楼,062-V501-12,不锈钢(S30408)
103,磷酸滴加罐,150L,四楼,062-V502-1,不锈钢(S310603)
104,磷酸滴加罐,150L,四楼,062-V502-2,不锈钢(S310603)
